Date,Total,Desktop,Android,Desktop/nightly,Desktop/aurora,Desktop/beta,Desktop/release,Android/nightly,Android/aurora,Android/beta,Android/release
2015-05-30,79402447,75187132,4215315,44216,84281,1915725,73142910,1608,1407,86529,4125771
2015-05-31,79988686,75765474,4223212,44971,84057,1534376,74102070,1560,1392,67928,4152332
2015-06-01,110183055,105859017,4324038,49913,109622,2216437,103483045,1123,1133,71136,4250646
2015-06-02,108872834,104539597,4333237,49412,110669,2110699,102268817,1145,1153,72965,4257974
2015-06-03,108455080,104141832,4313248,49746,112877,2198496,101780713,1140,1120,74971,4236017
2015-06-04,102270384,97994732,4275652,49122,108704,2189358,95647548,1133,1130,75404,4197985
2015-06-05,99980572,95688709,4291863,47242,105933,2101617,93433917,1170,1146,76208,4213339
2015-06-06,77122719,72895184,4227535,40861,78820,1815758,70959745,1094,1177,76553,4148711
2015-06-07,78445651,74200896,4244755,41491,80056,1559845,72519504,1146,1182,78288,4164139
2015-06-08,112155874,107783677,4372197,51561,115350,2336118,105280648,1124,1176,80827,4289070
2015-06-09,111580468,107173909,4406559,50679,116678,2324238,104682314,1128,1199,82325,4321907
2015-06-10,110068211,105667743,4400468,50275,115742,2316701,103185025,1171,1225,82756,4315316
2015-06-11,107605311,103224336,4380975,48992,113827,2226713,100834804,1169,1164,83043,4295599
2015-06-12,98690971,94395083,4295888,46313,106722,2064312,92177736,1167,1230,82613,4210878
2015-06-13,76754952,72520293,4234659,39901,79292,1783161,70617939,1146,1204,82306,4150003
2015-06-14,78572338,74291692,4280646,41096,80585,1578028,72591983,1152,1226,83221,4195047
2015-06-15,111019722,106628255,4391467,50466,115668,2294723,104167398,1173,1216,85190,4303888
2015-06-16,109576502,105175836,4400666,50153,115659,2281401,102728623,1166,1273,86003,4312224
2015-06-17,107915724,103550339,4365385,50185,114739,2205952,101179463,1175,1230,83140,4279840
2015-06-18,106580336,102231598,4348738,49611,113580,2029967,100038440,1142,1244,82063,4264289
2015-06-19,100246071,95933350,4312721,47428,107663,1928715,93849544,1217,1212,82102,4228190
2015-06-20,76953464,72704650,4248814,40607,79839,1685117,70899087,1166,1217,82592,4163839
2015-06-21,77700400,73402304,4298096,41196,80716,1461800,71818592,1157,1251,83241,4212447
2015-06-22,109447218,105047077,4400141,49435,114839,2202351,102680452,1206,1256,85381,4312298
2015-06-23,109124435,104695554,4428881,48874,116222,2201953,102328505,1185,1231,86021,4340444
2015-06-24,106769567,102341786,4427781,48619,115040,2190589,99987538,1206,1200,86740,4338635
2015-06-25,104746220,100404090,4342130,47976,114779,2165282,98076053,1181,1245,86550,4253154
2015-06-26,98550926,94217955,4332971,46187,108296,2020659,92042813,1173,1263,86855,4243680
2015-06-27,76195906,71947819,4248087,39373,80716,1742919,70084811,1124,1246,85697,4160020
2015-06-28,76526106,72246225,4279881,40090,80851,1521723,70603561,1192,1257,87353,4190079
2015-06-29,106830788,102438344,4392444,48876,114303,2240461,100034704,1186,1259,84338,4305661
2015-06-30,106907561,102491558,4416003,49315,116023,2243003,100083217,1224,1288,85358,4328133
