Date,Desktop,Android
2016-06-05,-4803943.285714284,1846339.5714285718
2016-06-06,-4053300.571428582,1828827
2016-06-07,-4804296.714285716,1763595.7142857136
2016-06-08,-5530651.142857134,1733894.7142857146
2016-06-09,-6083977.857142866,1734663.5714285718
2016-06-10,-7264362.428571433,1701480.5714285718
2016-06-11,-7139666.285714284,1689012.8571428573
2016-06-12,-7067638.428571418,1688828.4285714282
2016-06-13,-7294738,1689041.2857142864
2016-06-14,-6960481.857142866,1714715
2016-06-15,-6630947.285714284,1708917.5714285718
2016-06-16,-6291517.714285716,1700438.2857142864
2016-06-17,-6001548.857142866,1731968.5714285718
2016-06-18,-6315455.285714284,1746138.1428571427
2016-06-19,-6639829.428571418,1749427
2016-06-20,-6603292,1754351.4285714282
2016-06-21,-6657194,1762082
2016-06-22,-6864533,1766879.1428571427
2016-06-23,-6889689.571428582,1785989.428571429
2016-06-24,-7003282.142857134,1777823.8571428573
2016-06-25,-6840081.714285716,1784144.428571429
2016-06-26,-6780641.142857149,1795729.428571429
2016-06-27,-6692264.714285716,1816016.7142857146
2016-06-28,-6368923.142857149,1821929.2857142854
2016-06-29,-6060243.428571418,1830301.4285714282
2016-06-30,-5821516,1809426.2857142864
2016-07-01,-5720246,1785364
2016-07-02,-5321237,1764161.571428571
2016-07-03,-5162416,1745512.8571428573
2016-07-04,-6160894.285714284,1708185.428571429
2016-07-05,-6850130.142857134,1705849.5714285718
2016-07-06,-7754662.142857149,1703235.7142857146
2016-07-07,-8345472.142857134,1709584.7142857146
2016-07-08,-8398491.571428567,1718892.8571428563
2016-07-09,-8782395.714285702,1739277
2016-07-10,-8883594.714285716,1772131.571428571
2016-07-11,-8040293.571428567,1800003.571428571
2016-07-12,-7275796.142857149,1815055.8571428563
2016-07-13,-6144255,1824227.571428571
2016-07-14,-5556578.285714284,1866292.428571429
2016-07-15,-4857949.142857134,1919782.428571429
2016-07-16,-4117423.1428571343,1934599.428571429
2016-07-17,-3700089.2857142836,1921001.4285714282
2016-07-18,-3560032,1920754.7142857146
2016-07-19,-3367507.7142857164,1908705
2016-07-20,-3312734.7142857164,1913920.2857142864
2016-07-21,-2997049.8571428508,1917650.2857142864
2016-07-22,-3181330.1428571492,1929585.2857142854
2016-07-23,-3537730.428571433,1909452.7142857146
2016-07-24,-3969483,1902796.8571428573
2016-07-25,-4399808.285714284,1882205.7142857146
2016-07-26,-5047264.714285716,1839870
2016-07-27,-5540795,1783770
2016-07-28,-6142283.571428567,1726773.5714285718
2016-07-29,-6586905.142857149,1657237.5714285718
2016-07-30,-6982451.571428582,1620812.4285714282
2016-07-31,-7032612.285714284,1591823.428571429
2016-08-01,-7003987.428571433,1579536.5714285718
2016-08-02,-6759639.285714284,1588463.7142857146
2016-08-03,-6635005.857142851,1559411.5714285718
2016-08-04,-6330901.142857134,1482925.1428571427
2016-08-05,-6025995.857142851,1429035
2016-08-06,-5686714.571428582,1405260.2857142864
2016-08-07,-5757086.857142851,1380579.2857142854
2016-08-08,-5783685.571428567,1368908.1428571427
2016-08-09,-5681678.142857149,1386190
2016-08-10,-5541359.714285716,1419046.5714285718
2016-08-11,-5721739,1473141.8571428573
2016-08-12,-5479855.857142866,1506534.1428571437
2016-08-13,-5328340.571428567,1522340.4285714282
2016-08-14,-5147644.571428582,1532382.8571428573
2016-08-15,-6233490.571428567,1527556.571428571
2016-08-16,-6104951.857142866,1504876.1428571427
2016-08-17,-6214738.714285716,1544248.2857142854
2016-08-18,-6084077,1557760.7142857136
2016-08-19,-6238371,1590044.8571428573
2016-08-20,-6192546,1636858.7142857146
2016-08-21,-6009582.142857149,1681021.2857142854
2016-08-22,-4717617,1712832.2857142854
2016-08-23,-9932555.714285716,1734552.7142857146
2016-08-24,-12464184.571428582,1745487.7142857146
2016-08-25,-14280123.571428582,1648701.4285714282
2016-08-26,-15989702.285714284,1538340.7142857146
2016-08-27,-17491696,1432704.8571428573
2016-08-28,-18551817.857142866,1326997.571428571
2016-08-29,-19558119.14285715,1233415.428571429
2016-08-30,-15284146.857142866,1160006.8571428573
2016-08-31,-13471507.857142866,1044543.1428571427
2016-09-01,-12359536.428571433,1058844.8571428573
2016-09-02,-11510002.428571433,1079151.428571429
2016-09-03,-11024292.285714284,1086928.5714285718
2016-09-04,-10546929.428571433,1100342.2857142864
2016-09-05,-10552988.285714284,1115079.5714285718
2016-09-06,-9285895.857142866,1128000.7142857146
2016-09-07,-9177240.571428567,1156454.1428571427
2016-09-08,-9035777,1168872.8571428573
2016-09-09,-8903276,1186420.2857142854
2016-09-10,-8957450.714285716,1204349.1428571427
2016-09-11,-9026704.285714298,1204875.2857142864
2016-09-12,-8814953.571428567,1195252
2016-09-13,-9486274.857142866,1183608
2016-09-14,-8890923.428571433,1149320
2016-09-15,-10175445.428571433,1204707.5714285718
2016-09-16,-11416438,1228155.7142857136
2016-09-17,-11940195,1283516.2857142854
2016-09-18,-12269995.571428567,1351015.5714285718
2016-09-19,-12620247.714285702,1410659
2016-09-20,-13731495,1476442.4285714282
2016-09-21,-14668044.571428582,1597261.1428571427
2016-09-22,-13890101.571428567,1611346.1428571427
2016-09-23,-12740899.571428582,1658260.7142857146
2016-09-24,-12381810.85714285,1675023.8571428573
2016-09-25,-12253973,1682647.4285714282
2016-09-26,-11688667.142857134,1697746.2857142854
2016-09-27,-11473661,1696356.1428571427
2016-09-28,-11612351.714285702,1660485.4285714282
2016-09-29,-11631314,1658516.7142857146
2016-09-30,-11896705.714285716,1635492.2857142864
2016-10-01,-11785272.428571433,1625883.1428571427
2016-10-02,-11911769.714285716,1621151
2016-10-03,-12530156.14285715,1617029.1428571427
2016-10-04,-12519122.571428567,1616298.571428571
2016-10-05,-12438988.85714285,1613648
2016-10-06,-12415262.285714284,1614464
2016-10-07,-12706053.428571433,1612592.7142857136
2016-10-08,-12879337.714285702,1603368.5714285718
2016-10-09,-12759227.857142866,1598075.7142857146
2016-10-10,-12339101,1599672.1428571427
2016-10-11,-11744167.571428582,1597388.7142857136
2016-10-12,-12244345.857142866,1591920.1428571427
2016-10-13,-11883992.714285716,1615069
2016-10-14,-11661149.85714285,1620960.428571429
2016-10-15,-11729374.857142866,1622390.1428571427
2016-10-16,-11754195.714285702,1620875.1428571427
2016-10-17,-11433466.714285702,1652352.8571428573
2016-10-18,-11890897,1568624
2016-10-19,-11215396.714285716,1484446.8571428573
2016-10-20,-11060019.571428582,1488335.8571428573
2016-10-21,-10598846,1516356.8571428573
2016-10-22,-10263193.428571433,1538136.428571429
2016-10-23,-9864302.285714298,1561589.2857142854
2016-10-24,-9788559.571428582,1542807.2857142854
2016-10-25,-9518140,1658414.571428571
2016-10-26,-9345347.285714284,1773997.5714285718
2016-10-27,-9578468.428571433,1780516
2016-10-28,-9926498.285714284,1786751.571428571
2016-10-29,-10150458.142857134,1800361.2857142864
2016-10-30,-10373772.714285716,1825060.2857142854
2016-10-31,-10999956.428571433,1849944.4285714282
2016-11-01,-11757994.428571418,1868442.2857142864
2016-11-02,-11978743,1924984.2857142864
2016-11-03,-9869157.857142866,2015580.7142857136
2016-11-04,-9744389.571428567,2038367.2857142854
2016-11-05,-9423511,2068092
2016-11-06,-9016675.571428567,2086828.5714285718
2016-11-07,-7738150.571428567,2102429.1428571427
2016-11-08,-5896249,2167712.571428572
2016-11-09,-4917093.428571433,2158476.571428572
2016-11-10,-5805532.285714284,2089920.571428571
2016-11-11,-5760054.142857134,2089894.8571428573
2016-11-12,-5656452.285714284,2068226.8571428573
2016-11-13,-5579928.857142851,2055779.5714285718
2016-11-14,-5715115.142857149,2046306.428571429
2016-11-15,-6990709,1989000.571428571
2016-11-16,-7689010.571428567,1973638.2857142864
2016-11-17,-8485646.714285716,1975742
2016-11-18,-8074122.428571418,2007365.7142857146
2016-11-19,-8058192.2857142985,2055243.2857142854
2016-11-20,-8380010.571428567,2093441.7142857146
2016-11-21,-8529432.142857134,2141202.428571428
2016-11-22,-8049540,2176351
2016-11-23,-7965436.714285716,2195681.1428571427
2016-11-24,-8453857.714285716,2208505.571428572
2016-11-25,-8106752.857142866,2189250
2016-11-26,-7600803.857142866,2160050.1428571427
2016-11-27,-7421615.142857149,2133274.1428571427
2016-11-28,-7438921.428571418,2101054.8571428573
2016-11-29,-7598787.428571433,2064103
2016-11-30,-7492391.142857134,2047950.2857142864
2016-12-01,-7041673.285714284,1995406.7142857146
2016-12-02,-7618241.857142851,1936332.571428571
2016-12-03,-8313831.857142851,1891037.2857142854
2016-12-04,-8432409.428571433,1847821.8571428573
2016-12-05,-8323341.714285716,1803953.5714285718
2016-12-06,-8134212.857142851,1767310.5714285718
2016-12-07,-7667092.857142851,1753622.7142857146
2016-12-08,-8131924.714285716,1777306.7142857146
2016-12-09,-8224428.857142851,1807754.1428571427
2016-12-10,-8228427,1845814.571428571
2016-12-11,-8233536.857142851,1881886.8571428573
2016-12-12,-8701196.571428567,1916845.2857142854
2016-12-13,-8927413.142857134,1951154.7142857146
2016-12-14,-9345177.285714284,1966029.2857142854
2016-12-15,-9002085.142857134,1983390.8571428573
2016-12-16,-9047291.142857134,1997169.1428571427
2016-12-17,-8993177.571428567,2009843.2857142864
2016-12-18,-9104003.285714284,2021165.7142857146
2016-12-19,-8868223.714285702,2046228.7142857136
2016-12-20,-8292819.571428567,2053582.8571428573
2016-12-21,-7655170.285714284,2059245.1428571427
2016-12-22,-6538542,2069366.1428571427
2016-12-23,-3516654.2857142836,2096799.2857142854
2016-12-24,-12511.571428567171,2102283.571428571
2016-12-25,-744461.2857142836,2078060.8571428563
2016-12-26,-3399567,2070321.7142857146
2016-12-27,-3773440.2857142836,2073427.2857142854
2016-12-28,-4015788.571428567,2076183.571428571
2016-12-29,-4535863.285714284,2077422.2857142864
2016-12-30,-4968884.714285716,2085750.428571429
2016-12-31,-4892283.714285716,2079875.2857142854
2017-01-01,-5002984.285714284,2081350
2017-01-02,-4718019,2084177.2857142854
2017-01-03,-5079420.571428567,2091859.428571429
2017-01-04,-5202186.571428567,2143562.8571428573
2017-01-05,-5092144,2179434.571428571
2017-01-06,-7855021.142857149,2194972.7142857146
2017-01-07,-10937936.14285715,2241398.428571428
2017-01-08,-10055065.571428582,2307472.8571428563
2017-01-09,-7630954.857142866,2350918.8571428573
2017-01-10,-7414256,2334231.1428571427
