Date,Desktop/Delta,Desktop/Delta%,Android/Delta,Android/Delta%,Total/Delta,Total/Delta%
2015-08-13,-2920940.100000009,-3.3537712779206905,810125.7000000002,18.02809315802272,-2110814.4000000088,-0.02304687476115845
2015-08-14,-3169433.8333333284,-3.6550563981036905,817284.2666666661,18.166435059116132,-2352149.566666662,-0.025787565683218945
2015-08-15,-3733536.299999997,-4.353526899644389,822324,18.26728719575847,-2911212.299999997,-0.032253444031346605
2015-08-16,-3541120.6333333254,-4.1605751626928225,831168.2333333334,18.437198834082103,-2709952.399999992,-0.030238447389712347
2015-08-17,-1970435.7666666657,-2.289898235204961,842813.333333333,18.643052899821125,-1127622.4333333327,-0.012450307747336528
2015-08-18,-2050169.2333333343,-2.3573184391069444,846857.8333333335,18.689120965835833,-1203311.4000000008,-0.013150701963605651
2015-08-19,-3140019.2333333343,-3.612090357273378,847396.7000000002,18.675220453417342,-2292622.533333334,-0.02506465356515917
2015-08-20,-3329541.5333333313,-3.834880880268717,841714.0333333332,18.556584034622503,-2487827.499999998,-0.027231487754057877
2015-08-21,-3650834,-4.217598008946298,833644.8999999999,18.39133370668985,-2817189.1,-0.03092592566517446
2015-08-22,-4507024.599999994,-5.262353896811254,826230.9000000004,18.25016407856608,-3680793.6999999937,-0.04081888078921232
2015-08-23,-4465807.533333331,-5.255946901026644,823909.1000000001,18.20725308931508,-3641898.4333333313,-0.040695274351466644
2015-08-24,-2990405.5666666627,-3.4789384079539873,824105.8000000003,18.194385360963715,-2166299.7666666624,-0.02394048804771286
2015-08-25,-3214774.200000003,-3.69728558777085,818171.2333333329,18.04797633424609,-2396602.96666667,-0.02619728077364538
2015-08-26,-4300127.033333346,-4.948028625991588,808295.7666666661,17.83491041108142,-3491831.26666668,-0.03818798182558535
2015-08-27,-4669306.733333334,-5.37494812035641,785551.6000000001,17.334490341608554,-3883755.1333333342,-0.042490275730561536
2015-08-28,-5183570.233333334,-5.981485906253877,773339.7000000002,17.06914270200833,-4410230.533333334,-0.04836263080473863
2015-08-29,-6147615.199999988,-7.169366405416818,759490.2000000002,16.780865050798884,-5388124.999999988,-0.05968614207588054
2015-08-30,-6192548.600000009,-7.278554209133621,750383.166666667,16.58523007336271,-5442165.433333342,-0.060735888851812504
2015-08-31,-4742550.466666669,-5.505954833730086,745771.8666666662,16.456512976524266,-3996778.6000000024,-0.04408209798239325
